DATE,Hard coal consumption per capita [tones]
2000-02-01T00:00:00Z,0.445
2000-03-01T00:00:00Z,0.444
2000-04-01T00:00:00Z,0.339
2000-05-01T00:00:00Z,0.164
2000-06-01T00:00:00Z,0.1
2000-07-01T00:00:00Z,0.046
2000-08-01T00:00:00Z,0.033
2000-09-01T00:00:00Z,0.051
2000-10-01T00:00:00Z,0.083
2000-11-01T00:00:00Z,0.137
2000-12-01T00:00:00Z,0.172
2001-01-01T00:00:00Z,0.231
2001-02-01T00:00:00Z,0.258
2001-03-01T00:00:00Z,0.252
2001-04-01T00:00:00Z,0.199
2001-05-01T00:00:00Z,0.073
2001-06-01T00:00:00Z,0.04
2001-07-01T00:00:00Z,0.007
2001-08-01T00:00:00Z,0.008
2001-09-01T00:00:00Z,0.01
2001-10-01T00:00:00Z,0.034
2001-11-01T00:00:00Z,0.105
2001-12-01T00:00:00Z,0.192
2002-01-01T00:00:00Z,0.284
2002-02-01T00:00:00Z,0.309
2002-03-01T00:00:00Z,0.306
2002-04-01T00:00:00Z,0.212
2002-05-01T00:00:00Z,0.109
2002-06-01T00:00:00Z,0.068
2002-07-01T00:00:00Z,0.019
2002-08-01T00:00:00Z,0.021
2002-09-01T00:00:00Z,0.037
2002-10-01T00:00:00Z,0.088
2002-11-01T00:00:00Z,0.173
2002-12-01T00:00:00Z,0.243
2003-01-01T00:00:00Z,0.33
2003-02-01T00:00:00Z,0.385
2003-03-01T00:00:00Z,0.368
2003-04-01T00:00:00Z,0.227
2003-05-01T00:00:00Z,0.115
2003-06-01T00:00:00Z,0.079
2003-07-01T00:00:00Z,0.018
2003-08-01T00:00:00Z,0.012
2003-09-01T00:00:00Z,0.022
2003-10-01T00:00:00Z,0.041
2003-11-01T00:00:00Z,0.094
2003-12-01T00:00:00Z,0.159
2004-01-01T00:00:00Z,0.215
2004-02-01T00:00:00Z,0.242
2004-03-01T00:00:00Z,0.178
2004-04-01T00:00:00Z,0.107
2004-05-01T00:00:00Z,0.037
2004-06-01T00:00:00Z,0.015
2004-07-01T00:00:00Z,0.007
2004-08-01T00:00:00Z,0.009
2004-09-01T00:00:00Z,0.018
2004-10-01T00:00:00Z,0.039
2004-11-01T00:00:00Z,0.089
2004-12-01T00:00:00Z,0.127
2005-01-01T00:00:00Z,0.226
2005-02-01T00:00:00Z,0.271
2005-03-01T00:00:00Z,0.282
2005-04-01T00:00:00Z,0.221
2005-05-01T00:00:00Z,0.071
2005-06-01T00:00:00Z,0.067
2005-07-01T00:00:00Z,0.031
2005-08-01T00:00:00Z,0.044
2005-09-01T00:00:00Z,0.071
2005-10-01T00:00:00Z,0.12
2005-11-01T00:00:00Z,0.276
2005-12-01T00:00:00Z,0.389
2006-01-01T00:00:00Z,0.51
2006-02-01T00:00:00Z,0.554
2006-03-01T00:00:00Z,0.427
2006-04-01T00:00:00Z,0.299
2006-05-01T00:00:00Z,0.159
2006-06-01T00:00:00Z,0.111
2006-07-01T00:00:00Z,0.034
2006-08-01T00:00:00Z,0.021
2006-09-01T00:00:00Z,0.02
2006-10-01T00:00:00Z,0.035
2006-11-01T00:00:00Z,0.079
2006-12-01T00:00:00Z,0.12
2007-01-01T00:00:00Z,0.174
2007-02-01T00:00:00Z,0.164
2007-03-01T00:00:00Z,0.093
2007-04-01T00:00:00Z,0.067
2007-05-01T00:00:00Z,0.033
2007-06-01T00:00:00Z,0.033
2007-07-01T00:00:00Z,0.017
2007-08-01T00:00:00Z,0.017
2007-09-01T00:00:00Z,0.02
2007-10-01T00:00:00Z,0.05
2007-11-01T00:00:00Z,0.105
2007-12-01T00:00:00Z,0.136
2008-01-01T00:00:00Z,0.176
2008-02-01T00:00:00Z,0.185
2008-03-01T00:00:00Z,0.169
2008-04-01T00:00:00Z,0.12
2008-05-01T00:00:00Z,0.06
2008-06-01T00:00:00Z,0.045
2008-07-01T00:00:00Z,0.013
2008-08-01T00:00:00Z,0.005
2008-09-01T00:00:00Z,0.008
2008-10-01T00:00:00Z,0.021
2008-11-01T00:00:00Z,0.053
2008-12-01T00:00:00Z,0.074
2009-01-01T00:00:00Z,0.11
2009-02-01T00:00:00Z,0.146
2009-03-01T00:00:00Z,0.158
2009-04-01T00:00:00Z,0.094
2009-05-01T00:00:00Z,0.043
2009-06-01T00:00:00Z,0.029
2009-07-01T00:00:00Z,0.013
2009-08-01T00:00:00Z,0.014
2009-09-01T00:00:00Z,0.028
2009-10-01T00:00:00Z,0.057
2009-11-01T00:00:00Z,0.103
2009-12-01T00:00:00Z,0.14
2010-01-01T00:00:00Z,0.203
2010-02-01T00:00:00Z,0.233
2010-03-01T00:00:00Z,0.238
2010-04-01T00:00:00Z,0.164
2010-05-01T00:00:00Z,0.078
2010-06-01T00:00:00Z,0.052
2010-07-01T00:00:00Z,0.023
2010-08-01T00:00:00Z,0.016
2010-09-01T00:00:00Z,0.037
2010-10-01T00:00:00Z,0.08
2010-11-01T00:00:00Z,0.133
2010-12-01T00:00:00Z,0.164
2011-01-01T00:00:00Z,0.237
2011-02-01T00:00:00Z,0.297
2011-03-01T00:00:00Z,0.315
2011-04-01T00:00:00Z,0.22
2011-05-01T00:00:00Z,0.106
2011-06-01T00:00:00Z,0.072
2011-07-01T00:00:00Z,0.032
2011-08-01T00:00:00Z,0.03
2011-09-01T00:00:00Z,0.05
2011-10-01T00:00:00Z,0.084
2011-11-01T00:00:00Z,0.151
2011-12-01T00:00:00Z,0.237
2012-01-01T00:00:00Z,0.312
2012-02-01T00:00:00Z,0.343
2012-03-01T00:00:00Z,0.338
2012-04-01T00:00:00Z,0.205
2012-05-01T00:00:00Z,0.112
2012-06-01T00:00:00Z,0.08
2012-07-01T00:00:00Z,0.024
2012-08-01T00:00:00Z,0.022
2012-09-01T00:00:00Z,0.028
2012-10-01T00:00:00Z,0.048
2012-11-01T00:00:00Z,0.09
2012-12-01T00:00:00Z,0.145
2013-01-01T00:00:00Z,0.217
2013-02-01T00:00:00Z,0.255
2013-03-01T00:00:00Z,0.221
2013-04-01T00:00:00Z,0.115
2013-05-01T00:00:00Z,0.05
2013-06-01T00:00:00Z,0.03
2013-07-01T00:00:00Z,0.006
2013-08-01T00:00:00Z,0.003
2013-09-01T00:00:00Z,0.006
2013-10-01T00:00:00Z,0.021
2013-11-01T00:00:00Z,0.047
2013-12-01T00:00:00Z,0.075
2014-01-01T00:00:00Z,0.098
2014-02-01T00:00:00Z,0.097
2014-03-01T00:00:00Z,0.087
2014-04-01T00:00:00Z,0.028
2014-05-01T00:00:00Z,0.008
2014-06-01T00:00:00Z,0.003
2014-07-01T00:00:00Z,0.001
2014-08-01T00:00:00Z,0.003
2014-09-01T00:00:00Z,0.003
2014-10-01T00:00:00Z,0.002
2014-11-01T00:00:00Z,0.01
2014-12-01T00:00:00Z,0.032
2015-01-01T00:00:00Z,0.08
2015-02-01T00:00:00Z,0.11
2015-03-01T00:00:00Z,0.111
2015-04-01T00:00:00Z,0.082
2015-05-01T00:00:00Z,0.067
2015-06-01T00:00:00Z,0.037
2015-07-01T00:00:00Z,0.005
2015-08-01T00:00:00Z,0.001
2015-09-01T00:00:00Z,0.007
2015-10-01T00:00:00Z,0.022
2015-11-01T00:00:00Z,0.042
2015-12-01T00:00:00Z,0.059
2016-01-01T00:00:00Z,0.075
2016-02-01T00:00:00Z,0.085
2016-03-01T00:00:00Z,0.077
2016-04-01T00:00:00Z,0.046
2016-05-01T00:00:00Z,0.023
2016-06-01T00:00:00Z,0.026
2016-07-01T00:00:00Z,0.01
2016-08-01T00:00:00Z,0.003
2016-09-01T00:00:00Z,0.006
2016-10-01T00:00:00Z,0.008
2016-11-01T00:00:00Z,0.02
2016-12-01T00:00:00Z,0.042
2017-01-01T00:00:00Z,0.073
2017-02-01T00:00:00Z,0.092
2017-03-01T00:00:00Z,0.081
2017-04-01T00:00:00Z,0.05
2017-05-01T00:00:00Z,0.02
2017-06-01T00:00:00Z,0.023
2017-07-01T00:00:00Z,0.007
2017-08-01T00:00:00Z,0.001
2017-09-01T00:00:00Z,0.004
2017-10-01T00:00:00Z,0.009
2017-11-01T00:00:00Z,0.027
2017-12-01T00:00:00Z,0.056
2018-01-01T00:00:00Z,0.097
2018-02-01T00:00:00Z,0.138
2018-03-01T00:00:00Z,0.123
2018-04-01T00:00:00Z,0.066
2018-05-01T00:00:00Z,0.037
2018-06-01T00:00:00Z,0.023
2018-07-01T00:00:00Z,0.007
2018-08-01T00:00:00Z,0.001
2018-09-01T00:00:00Z,0
2018-10-01T00:00:00Z,0.011
2018-11-01T00:00:00Z,0.042
2018-12-01T00:00:00Z,0.065
2019-01-01T00:00:00Z,0.109
2019-02-01T00:00:00Z,0.142
2019-03-01T00:00:00Z,0.151
2019-04-01T00:00:00Z,0.124
2019-05-01T00:00:00Z,0.072
2019-06-01T00:00:00Z,0.059
2019-07-01T00:00:00Z,0.022
2019-08-01T00:00:00Z,0.005
2019-09-01T00:00:00Z,0.007
2019-10-01T00:00:00Z,0.017
2019-11-01T00:00:00Z,0.047
2019-12-01T00:00:00Z,0.102
2020-01-01T00:00:00Z,0.174
2020-02-01T00:00:00Z,0.229
2020-03-01T00:00:00Z,0.253
2020-04-01T00:00:00Z,0.2
2020-05-01T00:00:00Z,0.119
2020-06-01T00:00:00Z,0.08
2020-07-01T00:00:00Z,0.018
2020-08-01T00:00:00Z,0.005
2020-09-01T00:00:00Z,0.009
2020-10-01T00:00:00Z,0.028
2020-11-01T00:00:00Z,0.081
2020-12-01T00:00:00Z,0.135
